repo_name,created_at,age,pull_requests,releases,updated_at,language,open_issues,closed_issues,closed_issues_percent
Java,2016-07-16T10:21:02Z,8,0,0,2024-08-25T20:21:35Z,Java,12,0,0.0
design-resources-for-developers,2020-05-06T14:40:35Z,4,0,0,2024-08-25T20:15:44Z,,1,0,0.0
tabby,2016-12-23T09:06:10Z,8,0,0,2024-08-25T21:58:55Z,TypeScript,1995,0,0.0
awesome-scalability,2017-12-27T03:46:40Z,7,0,0,2024-08-25T20:01:55Z,,18,0,0.0
awesome-nodejs,2014-07-11T13:35:34Z,10,0,0,2024-08-25T17:43:50Z,,14,0,0.0
Apollo-11,2014-04-03T15:45:02Z,10,0,0,2024-08-25T21:36:56Z,Assembly,135,0,0.0
caddy,2015-01-13T19:45:03Z,9,0,0,2024-08-25T19:26:06Z,Go,139,0,0.0
SecLists,2012-02-19T01:30:18Z,12,0,0,2024-08-25T20:46:20Z,PHP,35,0,0.0
html5-boilerplate,2010-01-24T18:03:24Z,14,0,0,2024-08-25T19:37:34Z,JavaScript,14,0,0.0
awesome-courses,2014-11-15T18:36:49Z,10,0,0,2024-08-25T21:23:09Z,,52,0,0.0
spring-framework,2010-12-08T04:04:45Z,14,0,0,2024-08-25T19:58:17Z,Java,269,0,0.0
screenshot-to-code,2023-11-14T17:53:32Z,1,0,0,2024-08-25T20:41:08Z,Python,65,0,0.0
rails,2008-04-11T02:19:47Z,16,0,0,2024-08-25T20:27:15Z,Ruby,1210,0,0.0
alacritty,2016-02-18T05:02:30Z,8,0,0,2024-08-25T21:46:10Z,Rust,342,0,0.0
llama,2023-02-14T09:29:12Z,1,0,0,2024-08-25T19:26:03Z,Python,379,0,0.0
gatsby,2015-05-21T22:43:05Z,9,0,0,2024-08-25T20:49:06Z,JavaScript,371,0,0.0
docusaurus,2017-06-20T16:13:53Z,7,0,0,2024-08-25T19:38:55Z,TypeScript,319,0,0.0
cs-self-learning,2021-10-20T13:43:42Z,3,0,0,2024-08-25T16:59:12Z,HTML,107,0,0.0
uptime-kuma,2021-07-03T01:02:42Z,3,0,0,2024-08-25T21:38:53Z,JavaScript,670,0,0.0
